OrderID,CustomerID,ManagerID,Quantity,Price,Freight,OrderDate,ShippedDate
1,PX60,man88,49,34.42,14.18,9/13/2020,11/1/2020
2,TB21,man91,54,92.51,22.72,9/12/2020,10/27/2020
3,TH11,man49,63,35.04,14.6,9/20/2020,11/1/2020
4,VG25,man84,86,67.51,27.53,8/30/2020,10/30/2020
5,GE67,man84,28,45.83,20.93,9/15/2020,11/7/2020
6,LY60,man38,25,69.06,24.45,10/6/2020,11/6/2020
7,TQ13,man91,28,87.27,17.06,9/5/2020,10/23/2020
8,VC63,man82,21,26.8,28.88,8/16/2020,11/12/2020
9,SB33,man64,56,55.17,21.26,9/13/2020,10/19/2020
10,WW61,man79,53,29.65,13.86,9/18/2020,10/24/2020
11,OR78,man89,22,68.49,28.98,9/10/2020,10/13/2020
12,JM05,man29,70,58.49,11.68,9/11/2020,10/30/2020
13,GU07,man31,83,53.68,27.75,9/27/2020,10/18/2020
14,SW62,man57,36,88.31,10.86,10/3/2020,11/12/2020
15,MN22,man34,19,46.73,19.8,8/15/2020,10/26/2020
16,HS02,man93,23,65.67,15.93,9/30/2020,10/19/2020
17,YP39,man09,86,84.62,11.94,9/4/2020,11/4/2020
18,IM26,man21,98,45.61,25.95,9/10/2020,10/17/2020
19,SA24,man73,16,37.7,12.91,8/31/2020,11/12/2020
20,PL50,man87,25,55.97,20.33,8/15/2020,10/28/2020
21,MH35,man44,3,95.93,12.32,10/9/2020,11/12/2020
22,OF92,man41,89,60.37,23.41,8/14/2020,10/15/2020
23,GD53,man44,86,36.94,20.81,9/30/2020,11/2/2020
24,UC73,man71,100,31.04,29.65,9/27/2020,11/7/2020
25,TD94,man65,64,88.73,16.34,9/13/2020,10/20/2020
26,FD77,man30,75,88.99,14.93,9/3/2020,11/10/2020
27,YJ92,man69,70,22.93,27.1,9/25/2020,10/19/2020
28,XO38,man10,48,78.88,11.8,9/27/2020,10/13/2020
29,MZ59,man09,12,31.24,13.85,9/16/2020,11/11/2020
30,RL85,man15,86,59.54,11.04,9/17/2020,11/4/2020
31,MO60,man61,11,71.53,23.76,9/29/2020,10/26/2020
32,CK11,man31,13,31.16,11.69,10/9/2020,11/10/2020
33,YU42,man38,71,80.49,28.64,9/27/2020,10/25/2020
34,HS90,man87,67,85.86,24.24,8/30/2020,10/30/2020
35,JP81,man40,96,47.46,21.55,8/18/2020,10/18/2020
36,LF75,man84,10,86.34,21.73,9/21/2020,11/6/2020
37,XJ13,man68,65,40.78,17.07,9/13/2020,10/17/2020
38,VW35,man00,46,36.61,20.51,8/27/2020,10/30/2020
39,NX60,man22,20,83.67,27.81,10/9/2020,10/25/2020
40,DB63,man91,7,71.02,14.18,10/8/2020,11/1/2020
41,BI74,man25,77,52.97,18.77,10/2/2020,11/4/2020
