OrderID,CustomerID,ManagerID,Quantity,Price,Freight,ShippedDate,Total
1792,ZL57,man49,100,99.96,10,11/12/2020,10006
2641,TA97,man28,99,98.02,8,10/17/2020,9711.98
2103,KG25,man75,99,97.48,10,10/31/2020,9660.52
2485,TA83,man97,98,98.12,15,10/16/2020,9630.76
4173,UC83,man43,100,96.08,11,10/24/2020,9619
2056,SS08,man48,94,99.98,9,10/16/2020,9407.12
1686,IL70,man72,99,94.28,11,11/3/2020,9344.72
2638,UH21,man05,93,99.89,7,11/3/2020,9296.77
1214,RH50,man47,97,95.72,10,10/25/2020,9294.84
2285,WN29,man61,94,98.78,7,10/17/2020,9292.32
590,AH75,man45,95,97.58,7,11/9/2020,9277.1
305,AX34,man15,93,99.62,12,10/18/2020,9276.66
1600,JF18,man68,100,92.55,6,10/29/2020,9261
380,JF88,man98,100,92.33,14,10/15/2020,9247
2408,LO20,man89,100,91.88,8,10/13/2020,9196
891,VT43,man18,92,99.63,10,11/7/2020,9175.96
1508,EB07,man63,99,92.45,15,11/2/2020,9167.55
2612,LS72,man97,98,93.42,10,10/24/2020,9165.16
4379,OP41,man50,95,96.07,11,10/19/2020,9137.65
4826,RV45,man57,97,94.03,8,11/11/2020,9128.91
2267,SI82,man85,100,91.15,13,10/30/2020,9128
3057,XX50,man12,95,95.36,11,10/22/2020,9070.2
1434,SL92,man89,98,92.41,6,10/27/2020,9062.18
2471,LA26,man47,97,93.26,12,10/18/2020,9058.22
4303,LA18,man90,91,98.91,10,10/30/2020,9010.81
1095,LK91,man53,94,95.65,6,10/19/2020,8997.1
2788,MH51,man41,91,98.63,15,10/18/2020,8990.33
3807,OL77,man33,100,89.55,11,11/3/2020,8966
482,UU22,man00,92,97.3,10,10/28/2020,8961.6
1127,RW75,man28,93,96.2,6,11/4/2020,8952.6
185,LD43,man17,91,98.1,6,10/19/2020,8933.1
1603,VF67,man79,90,98.94,11,10/26/2020,8915.6
3971,WD13,man99,99,89.7,10,10/19/2020,8890.3
223,DT64,man09,95,93.25,6,11/12/2020,8864.75
1554,IK60,man26,89,99.48,9,11/5/2020,8862.72
1820,HJ77,man34,93,95.04,15,11/11/2020,8853.72
1855,WA68,man27,95,92.66,11,11/1/2020,8813.7
3312,HC50,man82,89,98.87,5,10/28/2020,8804.43
3411,KN11,man88,96,91.51,12,10/29/2020,8796.96
396,BT66,man09,88,99.55,12,11/11/2020,8772.4
3691,JA74,man96,89,98.25,14,10/31/2020,8758.25
2697,LY90,man57,94,92.74,15,10/27/2020,8732.56
4695,HF18,man76,99,87.78,15,11/10/2020,8705.22
4151,AE24,man69,90,96.43,14,11/6/2020,8692.7
4689,EC46,man75,92,94.35,10,10/15/2020,8690.2
2764,VD39,man55,92,94.08,9,10/23/2020,8664.36
4850,GE76,man70,96,90.11,9,11/5/2020,8659.56
479,MU00,man46,91,94.94,12,11/3/2020,8651.54
94,JJ19,man70,87,98.97,11,11/2/2020,8621.39
103,CN21,man26,93,92.54,9,10/20/2020,8615.22
4553,IT84,man84,96,89.48,13,10/17/2020,8603.08
2837,MD02,man03,97,88.35,11,10/14/2020,8580.95
758,MX59,man11,99,86.51,14,10/24/2020,8578.49
2742,EQ42,man60,89,96.07,11,10/30/2020,8561.23
4393,PF68,man06,95,89.77,7,11/6/2020,8535.15
2176,JV10,man58,92,92.61,14,11/1/2020,8534.12
2178,FM67,man99,88,96.45,13,11/6/2020,8500.6
2055,DJ42,man34,96,88.38,14,10/16/2020,8498.48
2748,GN35,man90,98,86.6,7,10/30/2020,8493.8
4743,GB27,man32,91,93.06,11,11/6/2020,8479.46
4923,TY07,man01,92,91.9,14,11/6/2020,8468.8
3609,VR90,man20,98,86.19,7,10/23/2020,8453.62
1468,AL27,man08,89,94.83,13,11/4/2020,8452.87
4576,LJ06,man07,98,86,9,10/27/2020,8437
242,MB05,man01,95,88.64,8,10/26/2020,8428.8
4804,OW79,man48,90,93.39,11,10/25/2020,8416.1
3006,MC16,man09,92,91.18,11,11/9/2020,8399.56
1929,KZ16,man89,94,88.95,11,10/18/2020,8372.3
3710,OU58,man99,88,94.96,11,11/2/2020,8367.48
4701,FW61,man19,86,97.19,5,10/29/2020,8363.34
2124,PQ81,man03,90,92.83,6,10/13/2020,8360.7
3122,FP43,man35,91,91.69,14,11/3/2020,8357.79
4475,NY35,man01,96,86.96,8,11/12/2020,8356.16
3544,SQ82,man18,85,98.17,8,10/28/2020,8352.45
1532,GG56,man89,96,86.74,5,11/8/2020,8332.04
4557,IW30,man06,86,96.74,6,10/24/2020,8325.64
88,UF69,man78,92,90.33,11,10/21/2020,8321.36
